FID,SHAPE,NAME,BEZEICHNUNG,SE_SDO_ROWID,SE_ANNO_CAD_DATA
UNIVERSITAETOGD.1546130,POINT (16.3849976321057 48.20973999629231),Universität für angewandte Kunst,Expositur Zollamtsstraße,1546130,
UNIVERSITAETOGD.1546131,POINT (16.37831556094233 48.20022308469168),Universität für angewandte Kunst,Expositur Am Heumarkt,1546131,
UNIVERSITAETOGD.1546132,POINT (16.37972452933844 48.209057514826114),Universität für angewandte Kunst,Expositur Dominikanerbastei,1546132,
UNIVERSITAETOGD.1546133,POINT (16.376354109986462 48.21020284845808),Universität für angewandte Kunst,Ausstellungszentrum Heiligenkreuzer Hof,1546133,
UNIVERSITAETOGD.1546134,POINT (16.365227421297888 48.201625313207444),Akademie der bildenden Künste Wien,Hauptgebäude,1546134,
UNIVERSITAETOGD.1546135,POINT (16.357901569058967 48.20175902187454),Akademie der bildenden Künste Wien,Institutsgebäude,1546135,
UNIVERSITAETOGD.1546136,POINT (16.396706018833008 48.21228201050784),Akademie der bildenden Künste Wien,Bildhauerateliers,1546136,
UNIVERSITAETOGD.1546137,POINT (16.351735473671383 48.21963565071546),Medizinische Universität Wien,Gebäude,1546137,
UNIVERSITAETOGD.1546138,POINT (16.350839904478 48.222503462284045),Medizinische Universität Wien,Gebäude,1546138,
UNIVERSITAETOGD.1546139,POINT (16.344341816209 48.22018781015255),Medizinische Universität Wien,AKH,1546139,
UNIVERSITAETOGD.1546140,POINT (16.348373255599675 48.21726973474831),Medizinische Universität Wien,Gebäude,1546140,
UNIVERSITAETOGD.1546141,POINT (16.34229928047689 48.21613736544498),Medizinische Universität Wien,Gebäude,1546141,
UNIVERSITAETOGD.1546142,POINT (16.358122490629366 48.21810744647732),Medizinische Universität Wien,Gebäude,1546142,
UNIVERSITAETOGD.1546143,POINT (16.35817928200451 48.214991583041126),Medizinische Universität Wien,Gebäude,1546143,
UNIVERSITAETOGD.1546144,POINT (16.357134797188536 48.21920732451805),Medizinische Universität Wien,Josephinum,1546144,
UNIVERSITAETOGD.1546145,POINT (16.360496360157722 48.216256065402405),Medizinische Universität Wien,Gebäude,1546145,
UNIVERSITAETOGD.1546146,POINT (16.355522903342745 48.21854015443631),Medizinische Universität Wien,Gebäude,1546146,
UNIVERSITAETOGD.1546147,POINT (16.35279578821901 48.21924935290256),Medizinische Universität Wien,Gebäude,1546147,
